,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Literacy_Percentage
466,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,783705,520808,562505,297386,265119,3873,2074,1799,814914,565357,249557,560041,254873,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,5988,94342,183340,8517,40774,309592,195321,504913,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1770672,1171301,510728,308331,8243,194290,18860,78124,94539,17140,241710,15986,163900,270128,11278,6923,334347,238492,147302,326556,25466,98704,370,18277,3436,1501,7007,119728,203714,32093,223433,293,416,2140,3606,152745,135508,757,93390,8362,10448,27819,38267,32978,173991,69717,71296,108729,37233,69967,223646,72987,21485,27675,4792,1398,33912,350,852,666,1518,166,214,380,138,131,269,135,2651,0.6527124196251082
467,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,600541,382569,318001,166662,151339,164,89,75,599089,459037,140052,453567,145522,1241132,217672,131877,31600,217940,1075440,750368,5952,5295,189,517,21,2439,55064,89329,2825,18303,335888,115486,451374,251669,352835,230640,161282,164763,69522,3021,1233732,520215,1753947,1227283,391275,215849,5814,167023,7361,60499,63056,7487,194951,4256,101804,206663,4225,16858,253796,205042,166582,300111,10385,77061,202,35090,14062,1155,7526,107794,142499,70,210241,19,55,4286,4580,45254,250627,220,97536,4824,5382,19632,25014,26131,125550,44061,55358,125019,37253,16955,229798,48312,10196,12760,2041,523,21966,340,749,449,1198,139,175,314,109,76,185,34,2074,0.5342347468048675
468,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,603596,413491,309980,166454,143526,15,9,6,524676,430934,93742,419027,105649,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,2390,32510,61491,2488,18082,299785,65985,365770,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1713786,1069916,361028,223535,2137,178143,6011,58628,37935,7070,161683,2647,64187,174734,5981,23163,259962,157415,85404,268151,6646,100866,300,18572,3759,803,5374,121323,189584,1521,226228,67,190,942,1496,146596,72121,297,47225,2930,7399,18880,26279,24713,109000,38071,46216,103765,39694,60021,186544,43298,11331,14941,2745,865,33955,325,656,331,987,122,166,288,51,43,94,35,1730,0.6139545917702111
469,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,692964,477279,460544,248195,212349,801,398,403,628864,493991,134873,448651,180213,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,4034,23831,49753,2682,25354,363933,41323,405256,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1881584,1100820,415918,276272,3174,220794,12752,101117,40159,17377,163780,3594,65556,184973,3816,26754,309804,197245,89107,320512,6125,128251,294,15267,2271,490,6013,132228,236222,21093,251016,120,218,513,1138,167007,85797,287,53449,1260,9635,24395,34030,31923,146889,53074,61892,118132,30422,76669,225671,54270,11525,14806,2502,779,34726,343,724,527,1251,115,164,279,146,17,163,20,2056,0.6515162143744739
470,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,507279,306145,555397,291303,264094,193,102,91,639086,402644,236442,415312,223774,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,2810,22034,43753,1503,15029,349856,30764,380620,184229,253910,180825,146757,89011,45341,5115,905188,670750,1575938,1034099,336401,210556,18540,210669,4403,81230,35502,5468,145907,1530,52946,154650,3275,12183,264959,92723,46197,271140,3175,56732,154,8587,1420,668,4743,183670,226461,15274,232180,86,228,205,699,171705,33644,180,26654,2011,9311,22015,31326,23683,103416,35056,44677,105957,35694,71044,196096,41806,10001,13548,2564,983,24943,312,620,350,970,106,149,255,76,17,93,14,1645,0.5085184008962264
471,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,1183722,771098,544231,278947,265284,80269,41003,39266,1116973,804857,312116,523258,593715,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,4930,29304,127331,3486,35931,742324,42775,785099,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,3731239,2236842,772777,500373,54552,432174,12849,89443,70192,13754,383308,3858,103014,404094,7032,47546,473720,266463,95139,549999,5421,178396,347,12082,2573,777,8569,292163,456698,580,378703,195,567,3962,5106,214524,303575,382,171798,2702,9117,26079,35196,33962,194609,64329,96318,224748,104073,40527,328791,131217,44482,65323,14535,6306,33295,692,1374,836,2210,227,328,555,195,23,218,27,3704,0.5484067527291009
472,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,397586,243605,240519,126325,114194,71610,36834,34776,503351,326783,176568,357033,146318,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,1179,20720,77082,1079,9906,258013,43819,301832,185575,202692,154118,61543,32237,34658,3535,674358,509536,1183894,793551,265080,159666,3295,118185,5511,39275,36718,4266,118747,2163,53524,126482,3469,5851,201091,84273,42178,209129,6708,50701,145,8015,937,719,3240,133605,174332,31045,163443,72,237,111,517,115487,36945,97,20604,2110,7680,20378,28058,18155,94058,33251,42652,74048,21714,65446,145245,40139,11857,15312,2667,788,17182,239,483,260,743,87,120,207,47,28,75,22,1287,0.5248814661523651
473,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,1742440,1384820,948294,498799,449495,7506,4036,3470,1542806,1226399,316407,1152285,390521,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,13249,469747,582769,68506,152257,344155,717566,1061721,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,4241505,2678289,1161686,685258,64605,539667,90205,271988,337254,44139,506004,111961,506413,607420,57277,45231,796009,654614,539863,688062,107236,166876,1228,15463,8280,5200,11627,167977,264904,4305,380839,456,491,4561,7110,243172,503471,1602,427563,60932,24634,59605,84239,91280,406787,158994,156513,253877,77688,75948,560253,129383,33210,43679,7923,2546,89276,603,1862,2204,4066,693,530,1223,431,396,827,767,7486,0.6813443088841044
474,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,302283,185823,220898,117389,103509,647,355,292,349676,237153,112523,238712,110964,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,157,1523,12874,42936,1316,11298,198298,48525,246823,119002,141201,131165,60400,33810,37165,3926,526669,403649,930318,527067,201394,137393,10104,85723,5755,42442,21276,5417,105277,1820,35422,113025,2331,2711,154755,70567,41692,157367,4536,39526,125,5902,798,417,2295,92907,120241,25175,117760,123,191,351,844,97343,19921,179,18115,1170,6219,14004,20223,12647,65642,23423,29572,57356,20253,46210,104537,31794,8899,11462,2001,562,15681,161,338,176,514,64,85,149,31,30,61,20,904,0.5572253464207187
475,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,712110,491775,368206,196507,171699,478,258,220,560840,466067,94773,424782,136058,1307689,270888,137174,24784,127994,1746649,100723,1729,475,8814,4161,38,5940,43074,79022,2642,24451,338475,72783,411258,234774,353287,319158,230731,144516,111696,12281,1406443,519493,1925936,1193660,402321,265638,6910,216358,7361,49983,53444,9035,196084,4061,76780,209597,4478,21800,288281,158322,72089,301040,7547,95552,99,10233,2197,791,4198,152862,235811,2801,242981,31,70,1032,1221,140987,128576,88,63151,4252,7670,19256,26926,24297,117640,40481,52862,122392,44226,41621,204465,57849,16122,21571,4084,1365,27299,372,748,401,1149,137,189,326,66,44,110,43,1998,0.6442955929503904
